study_accession	secondary_study_accession	sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	study_alias	run_alias	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp
PRJEB9853	ERP011001	SAMEA3870402	ERX1327484	ERR1255877	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/007/ERR1255877/ERR1255877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/007/ERR1255877/ERR1255877_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/007/ERR1255877/ERR1255877_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/007/ERR1255877/ERR1255877_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255877/3023C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255877/3023C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870403	ERX1327485	ERR1255878	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255878/ERR1255878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255878/ERR1255878_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255878/ERR1255878_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255878/ERR1255878_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255878/3023C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255878/3023C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870404	ERX1327486	ERR1255879	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255879/ERR1255879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255879/ERR1255879_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255879/ERR1255879_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255879/ERR1255879_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255879/3025C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255879/3025C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870405	ERX1327487	ERR1255880	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255880/ERR1255880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255880/ERR1255880_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255880/ERR1255880_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255880/ERR1255880_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255880/3025C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255880/3025C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870406	ERX1327488	ERR1255881	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255881/ERR1255881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255881/ERR1255881_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255881/ERR1255881_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255881/ERR1255881_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255881/3025C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255881/3025C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870407	ERX1327489	ERR1255882	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1255882/ERR1255882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1255882/ERR1255882_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/002/ERR1255882/ERR1255882_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/002/ERR1255882/ERR1255882_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255882/3026C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255882/3026C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870408	ERX1327490	ERR1255883	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255883/ERR1255883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255883/ERR1255883_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255883/ERR1255883_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255883/ERR1255883_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255883/3026C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255883/3026C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870409	ERX1327491	ERR1255884	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/004/ERR1255884/ERR1255884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/004/ERR1255884/ERR1255884_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/004/ERR1255884/ERR1255884_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/004/ERR1255884/ERR1255884_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255884/3026C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255884/3026C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870410	ERX1327492	ERR1255885	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255885/ERR1255885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255885/ERR1255885_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255885/ERR1255885_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255885/ERR1255885_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255885/3031C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255885/3031C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870411	ERX1327493	ERR1255886	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:786-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/006/ERR1255886/ERR1255886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/006/ERR1255886/ERR1255886_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/006/ERR1255886/ERR1255886_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/006/ERR1255886/ERR1255886_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255886/3031C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255886/3031C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870412	ERX1327494	ERR1255887	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/007/ERR1255887/ERR1255887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/007/ERR1255887/ERR1255887_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/007/ERR1255887/ERR1255887_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/007/ERR1255887/ERR1255887_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255887/3031C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255887/3031C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870413	ERX1327495	ERR1255888	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255888/ERR1255888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255888/ERR1255888_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255888/ERR1255888_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255888/ERR1255888_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255888/3036C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255888/3036C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870414	ERX1327496	ERR1255889	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255889/ERR1255889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255889/ERR1255889_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255889/ERR1255889_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255889/ERR1255889_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255889/3036C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255889/3036C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870415	ERX1327497	ERR1255890	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255890/ERR1255890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255890/ERR1255890_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255890/ERR1255890_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255890/ERR1255890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255890/3036C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255890/3036C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870416	ERX1327498	ERR1255891	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255891/ERR1255891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255891/ERR1255891_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255891/ERR1255891_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255891/ERR1255891_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255891/3041C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255891/3041C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870417	ERX1327499	ERR1255892	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1255892/ERR1255892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1255892/ERR1255892_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/002/ERR1255892/ERR1255892_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/002/ERR1255892/ERR1255892_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255892/3041C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255892/3041C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870418	ERX1327500	ERR1255893	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:787-26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255893/ERR1255893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255893/ERR1255893_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255893/ERR1255893_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255893/ERR1255893_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255893/3041C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255893/3041C.6M_run1_R2.fastq.gz	
